movie_id,cast_id,actor
103,7,"Harvey Keitel"
33542,1,"Jackie Chan"
43566,1,"Meryl Streep"
43566,2,"Liam Neeson"
43566,4,"Alfred Molina"
43566,9,"John Heard"
43566,15,"Paul Giamatti"
78406,2,"Alan Arkin"
2074,15,"Richard Jenkins"
110972,4,"John Goodman"
9101,4,"Harry Dean Stanton"
9101,5,"Bruce Dern"
9101,15,"William H. Macy"
9101,16,"Rip Torn"
11000,6,"Robin Williams"
11000,7,"Gene Hackman"
249882,1,"Martin Sheen"
249882,10,"Paul Guilfoyle"
30157,1,"Isabelle Huppert"
568,19,"Tom Hanks"
568,24,"Kevin Bacon"
568,26,"Ed Harris"
568,76,"Clint Howard"
11780,9,"Liam Neeson"
11780,11,"John Hurt"
11780,14,"Brian Cox"
34996,2,"Christopher Walken"
414,6,"Val Kilmer"
649,18,"Catherine Deneuve"
5894,22,"Harvey Keitel"
5894,20,"Keith David"
1775,5,"Kevin Pollak"
1775,6,"Rip Torn"
1775,15,"Wallace Shawn"
1775,17,"Dan Aykroyd"
8839,39,"Dan Aykroyd"
8839,41,"Clint Eastwood"
20649,4,"Harvey Keitel"
20649,5,"John Turturro"
20649,9,"Keith David"
8963,2,"Gene Hackman"
8068,3,"Antonio Banderas"
8068,7,"Steve Buscemi"
8068,12,"Danny Trejo"
8512,2,"Tom Sizemore"
1572,8,"Bruce Willis"
1572,9,"Samuel L. Jackson"
6520,1,"Sean Connery"
9073,2,"Michael Madsen"
9073,20,"M. Emmet Walsh"
17447,2,"Patrick Stewart"
17447,5,"Sigourney Weaver"
9886,10,"Keanu Reeves"
9886,15,"Dolph Lundgren"
9886,18,"Udo Kier"
9482,1,"Sylvester Stallone"
9482,6,"Max von Sydow"
19326,3,"Stanley Tucci"
19326,8,"Richard Riehle"
19326,15,"Shelley Winters"
9071,1,"Steve Buscemi"
9071,3,"Dermot Mulroney"
47608,27,"Liev Schreiber"
68274,3,"Whoopi Goldberg"
11472,12,"Julianne Moore"
11472,13,"Tom Arnold"
11472,15,"Jeff Goldblum"
11472,16,"Robin Williams"
36196,2,"Liev Schreiber"
11980,9,"Christopher Walken"
32646,1,"Julianne Moore"
10533,3,"Robert Duvall"
10149,11,"Harvey Keitel"
10149,12,"William Hurt"
10149,18,"Forest Whitaker"
18402,1,"Dennis Quaid"
18402,6,"Robert Duvall"
9348,1,"Ben Kingsley"
9348,2,"Michael Madsen"
9348,3,"Alfred Molina"
9348,4,"Forest Whitaker"
9348,83,"Frank Welker"
139408,1,"Robert Duvall"
281,11,"Tom Sizemore"
5967,8,"Catherine Deneuve"
9090,9,"John Leguizamo"
9090,13,"Robin Williams"
52856,3,"John Turturro"
9560,1,"Keanu Reeves"
9560,3,"Anthony Quinn"
9804,24,"Dennis Hopper"
65796,2,"Jeff Bridges"
65796,4,"John Hurt"
65796,9,"Bruce Dern"
65796,12,"James Remar"
49805,5,"Michael Gambon"
9382,1,"Whoopi Goldberg"
9382,5,"James Remar"
8984,3,"Donald Sutherland"
10531,1,"Sigourney Weaver"
10531,2,"Ben Kingsley"
11929,9,"Kathy Bates"
11929,12,"Christopher Plummer"
11929,15,"David Strathairn"
11929,14,"John C. Reilly"
8467,47,"Lin Shaye"
18395,5,"Dan Aykroyd"
522,12,"Bill Murray"
27985,5,"Bruce Davison"
15789,5,"Jim Cummings"
15789,8,"Wallace Shawn"
15789,9,"Frank Welker"
27303,1,"Jeff Goldblum"
27303,5,"Alfred Molina"
21183,1,"Samuel L. Jackson"
21183,4,"Ron Perlman"
72031,15,"Michael Ironside"
72031,19,"M. Emmet Walsh"
11777,21,"Charles Durning"
628,21,"Antonio Banderas"
628,22,"Christian Slater"
87729,2,"Nick Nolte"
87729,18,"James Earl Jones"
6280,2,"Danny DeVito"
9061,1,"Sean Connery"
9061,2,"Laurence Fishburne"
9061,16,"Ed Harris"
9061,20,"Ned Beatty"
37108,2,"Joss Ackland"
6071,2,"Samuel L. Jackson"
6071,3,"Nicolas Cage"
6071,13,"Stanley Tucci"
6071,15,"Ving Rhames"
11,6,"Peter Cushing"
11,17,"James Earl Jones"
9587,9,"Susan Sarandon"
4476,18,"Anthony Hopkins"
11008,24,"Michael Ironside"
47504,4,"Vanessa Redgrave"
47504,5,"Paul Guilfoyle"
32325,15,"Danny Trejo"
28313,3,"David Strathairn"
28313,4,"Samuel L. Jackson"
11318,2,"Helen Mirren"
3036,16,"Robert De Niro"
3036,23,"John Cleese"
24070,28,"Liev Schreiber"
8986,2,"Ed Harris"
8986,16,"Malcolm McDowell"
10510,5,"James Remar"
10510,18,"Joss Ackland"
17402,2,"Antonio Banderas"
17402,9,"Kevin Pollak"
8438,6,"Christian Slater"
8438,7,"Kevin Bacon"
8438,10,"William H. Macy"
8438,11,"Stephen Tobolowsky"
8438,12,"Brad Dourif"
11593,8,"Paul Newman"
11593,9,"Bruce Willis"
1945,6,"Liam Neeson"
241,49,"Woody Harrelson"
241,51,"Robert Downey Jr."
241,53,"Tom Sizemore"
9058,2,"Robert Downey Jr."
9058,6,"Billy Zane"
6950,1,"Dustin Hoffman"
6950,3,"Morgan Freeman"
6950,6,"Donald Sutherland"
63020,4,"Alfred Molina"
2307,16,"John Leguizamo"
680,3,"Samuel L. Jackson"
680,1,"Bruce Willis"
680,10,"Ving Rhames"
680,7,"Harvey Keitel"
680,32,"Christopher Walken"
680,31,"Steve Buscemi"
41478,14,"M. Emmet Walsh"
40156,3,"Tom Wilkinson"
11450,1,"John Turturro"
11450,20,"Christopher McDonald"
11450,26,"Paul Guilfoyle"
12106,12,"Gene Hackman"
12106,18,"Keith David"
12106,19,"Lance Henriksen"
161495,3,"Julianne Moore"
3586,2,"Marcello Mastroianni"
3586,15,"Forest Whitaker"
36357,4,"Christopher Lloyd"
92769,8,"M. Emmet Walsh"
22586,4,"John Cleese"
2636,8,"Sylvester Stallone"
2636,10,"James Woods"
2636,11,"Rod Steiger"
2636,12,"Eric Roberts"
278,4,"Morgan Freeman"
9067,4,"Malcolm McDowell"
9059,1,"Billy Zane"
9059,11,"Dick Miller"
193,5,"Patrick Stewart"
193,15,"Malcolm McDowell"
193,17,"Whoopi Goldberg"
46797,7,"Willem Dafoe"
11381,12,"Dan Aykroyd"
32636,12,"Wallace Shawn"
32636,9,"Julianne Moore"
1587,8,"John C. Reilly"
48287,9,"Bruce Davison"
3049,30,"Udo Kier"
11382,1,"John Cusack"
11382,18,"Jim Broadbent"
9331,1,"Willem Dafoe"
9331,15,"James Earl Jones"
10731,11,"Susan Sarandon"
10731,25,"William H. Macy"
10464,1,"Whoopi Goldberg"
10464,2,"Ray Liotta"
888,16,"John Goodman"
13,7,"Tom Hanks"
16295,11,"Laurence Fishburne"
10879,1,"Nick Nolte"
10660,1,"Nicolas Cage"
10660,14,"Stanley Tucci"
10660,15,"Richard Jenkins"
10714,4,"Sam Neill"
10714,5,"John Cleese"
8587,10,"James Earl Jones"
8587,15,"Whoopi Goldberg"
8587,16,"Jim Cummings"
8587,24,"Frank Welker"
1689,1,"Keanu Reeves"
11596,36,"Lin Shaye"
9359,5,"Alfred Molina"
9359,65,"Danny Glover"
23333,11,"Wallace Shawn"
23333,27,"Stanley Tucci"
36593,10,"George Kennedy"
36593,21,"James Earl Jones"
36593,39,"James Earl Jones"
12280,13,"Robert Duvall"
12280,16,"Randy Quaid"
2788,32,"Keith David"
10427,1,"Nicolas Cage"
10427,5,"Dennis Hopper"
49803,3,"Susan Sarandon"
8987,1,"Meryl Streep"
8987,2,"David Strathairn"
8987,12,"Kevin Bacon"
8987,13,"John C. Reilly"
1637,2,"Keanu Reeves"
1637,4,"Dennis Hopper"
36955,4,"Tom Arnold"
36955,7,"Charlton Heston"
10395,2,"Christopher Plummer"
10395,13,"Richard Jenkins"
12160,15,"Dennis Quaid"
12160,16,"Gene Hackman"
12160,22,"Michael Madsen"
12160,26,"Tom Sizemore"
40480,3,"Laurence Fishburne"
52038,6,"Michael Gambon"
41580,2,"Gérard Depardieu"
22067,12,"Forest Whitaker"
291731,7,"Bruce Davison"
2654,9,"Sam Neill"
2654,14,"Charlton Heston"
2758,4,"Christopher Lloyd"
13595,2,"Steve Buscemi"
46094,3,"Kevin Bacon"
11853,14,"Dermot Mulroney"
46924,3,"Robin Williams"
46924,14,"John Turturro"
46924,15,"Bill Nighy"
46924,47,"William H. Macy"
11041,4,"Cloris Leachman"
14522,4,"Sean Bean"
26203,1,"James Remar"
178,1,"Jeff Bridges"
178,4,"Forest Whitaker"
19819,2,"Nick Nolte"
4722,17,"Forest Whitaker"
1607,1,"Robert De Niro"
26391,14,"Alfred Molina"
117553,9,"Stephen Tobolowsky"
6075,7,"John Leguizamo"
18658,3,"James Earl Jones"
18658,4,"Kevin Pollak"
18658,5,"Michael Gambon"
9350,1,"Sylvester Stallone"
9612,12,"Dan Aykroyd"
9612,36,"Tom Arnold"
2124,15,"Bruce Willis"
2124,20,"Brad Dourif"
2124,21,"Lance Henriksen"
19176,1,"Woody Harrelson"
49299,1,"Harvey Keitel"
11566,12,"Sigourney Weaver"
11566,15,"Ving Rhames"
11566,16,"Ben Kingsley"
9739,1,"Sylvester Stallone"
34444,6,"Keanu Reeves"
34444,7,"John Hurt"
34444,17,"Udo Kier"
26141,13,"Christopher McDonald"
26141,14,"James Remar"
10443,1,"Jeff Bridges"
10443,5,"John Turturro"
18551,2,"Dennis Quaid"
18551,3,"James Caan"
25440,4,"Jim Broadbent"
37233,3,"Gene Hackman"
37233,7,"Ed Harris"
37233,9,"David Strathairn"
1634,14,"Michael Madsen"
1634,16,"Michael Ironside"
1634,17,"Richard Riehle"
13815,3,"Samuel L. Jackson"
5503,5,"Julianne Moore"
5503,37,"Richard Riehle"
35588,1,"Gene Hackman"
35588,2,"Robert Duvall"
2087,14,"Alec Baldwin"
2087,16,"Michael Madsen"
2087,17,"James Woods"
41006,4,"Sean Connery"
2019,13,"Lance Henriksen"
2259,13,"Meryl Streep"
2259,17,"Antonio Banderas"
2259,19,"Vanessa Redgrave"
11934,15,"Paul Newman"
11934,16,"Charles Durning"
11934,24,"Steve Buscemi"
11934,33,"John Goodman"
106143,3,"Nick Nolte"
106143,29,"Woody Harrelson"
9386,1,"Clint Eastwood"
9386,2,"John Malkovich"
9386,32,"John Heard"
7984,76,"Tom Wilkinson"
15765,3,"Laurence Fishburne"
31643,2,"Christian Slater"
329,4,"Sam Neill"
329,6,"Jeff Goldblum"
329,138,"Samuel L. Jackson"
9593,5,"Anthony Quinn"
9593,28,"Danny DeVito"
22317,8,"Richard Riehle"
12121,13,"Whoopi Goldberg"
2246,16,"Alec Baldwin"
9516,5,"Samuel L. Jackson"
2320,17,"John Leguizamo"
2320,23,"Oliver Platt"
2320,43,"Richard Riehle"
11971,12,"Keanu Reeves"
31911,7,"William Hurt"
788,20,"Robin Williams"
11231,3,"Michael Ironside"
41588,8,"Samuel L. Jackson"
10447,1,"Ray Liotta"
10447,2,"Lance Henriksen"
31586,14,"Bruce Willis"
31586,32,"Alan Arkin"
31586,33,"Dan Aykroyd"
31586,36,"Kathy Bates"
9300,19,"Billy Zane"
9559,14,"Clint Eastwood"
9800,21,"Tom Hanks"
9800,19,"Antonio Banderas"
713,2,"Harvey Keitel"
713,3,"Sam Neill"
8291,7,"Billy Zane"
18133,1,"James Caan"
25557,1,"Donald Sutherland"
25557,4,"Keith David"
22588,9,"Ned Beatty"
22588,16,"Stephen Tobolowsky"
22588,17,"Christopher Lloyd"
10872,16,"J.K. Simmons"
1245,1,"Anthony Hopkins"
11858,1,"Danny DeVito"
11858,3,"James Remar"
7007,6,"Sean Connery"
7007,8,"Harvey Keitel"
7007,16,"Steve Buscemi"
10467,1,"Anthony Hopkins"
10467,4,"John Cusack"
5550,21,"Rip Torn"
8005,12,"Patrick Stewart"
2088,36,"Ron Perlman"
14534,3,"Ned Beatty"
56583,1,"Danny Glover"
56583,7,"Ving Rhames"
424,14,"Liam Neeson"
424,15,"Ben Kingsley"
35233,12,"J.K. Simmons"
14291,8,"Ben Kingsley"
14291,9,"Laurence Fishburne"
14291,15,"William H. Macy"
103413,6,"William Hurt"
103413,11,"John Hurt"
8850,8,"Alec Baldwin"
10445,1,"Anthony Hopkins"
695,24,"Julianne Moore"
695,20,"Bruce Davison"
695,32,"Robert Downey Jr."
12519,3,"Sam Neill"
23210,4,"Donald Sutherland"
23210,14,"Bruce Davison"
858,13,"Tom Hanks"
78,7,"Rutger Hauer"
78,42,"M. Emmet Walsh"
10442,21,"Alan Arkin"
11074,1,"Bruce Willis"
11074,4,"Tom Sizemore"
33367,7,"Ben Kingsley"
9607,12,"John Leguizamo"
9607,13,"Dennis Hopper"
9607,20,"Lance Henriksen"
17585,2,"Rutger Hauer"
9057,4,"Christopher McDonald"
10057,14,"Oliver Platt"
11969,12,"Val Kilmer"
11969,19,"Charlton Heston"
11969,25,"Billy Zane"
11969,80,"Robert Mitchum"
41590,2,"William Hurt"
319,4,"Christian Slater"
319,9,"Dennis Hopper"
319,10,"Christopher Walken"
319,12,"Tom Sizemore"
319,13,"Samuel L. Jackson"
319,46,"Val Kilmer"
15139,2,"Christopher Lloyd"
15139,3,"Patrick Stewart"
15139,4,"Whoopi Goldberg"
15139,13,"Frank Welker"
15139,22,"Jim Cummings"
51980,8,"Gérard Depardieu"
24405,23,"Dean Stockwell"
24405,19,"Dennis Hopper"
11655,2,"Ron Perlman"
11800,13,"Whoopi Goldberg"
41653,1,"Stellan Skarsgård"
53185,2,"Jim Broadbent"
10897,26,"Whoopi Goldberg"
37345,1,"Jim Broadbent"
32562,48,"Susan Sarandon"
32562,11,"Whoopi Goldberg"
32562,8,"Tom Hanks"
124304,3,"Marcello Mastroianni"
771,16,"John Heard"
251,26,"Whoopi Goldberg"
812,20,"Robin Williams"
812,23,"Frank Welker"
812,31,"Jim Cummings"
274,2,"Anthony Hopkins"
10020,105,"Frank Welker"
576,6,"Ernest Borgnine"
30528,3,"Randy Quaid"
7300,11,"Charles Durning"
261246,21,"Mark Strong"
275,7,"William H. Macy"
275,5,"Steve Buscemi"
275,6,"Peter Stormare"
25059,24,"Stephen Tobolowsky"
47333,11,"William Hurt"
46029,1,"Antonio Banderas"
88893,2,"Donald Sutherland"
88893,7,"Brad Dourif"
52873,5,"Catherine Deneuve"
123505,2,"Stanley Tucci"
12520,7,"Ron Perlman"
12520,22,"Charles Durning"
36447,1,"Dennis Hopper"
19042,5,"Ernest Borgnine"
19042,13,"Jim Cummings"
19042,14,"Wallace Shawn"
47449,6,"Liev Schreiber"
36259,1,"Whoopi Goldberg"
41852,2,"Robert Duvall"
41852,3,"James Earl Jones"
41852,11,"Sylvester Stallone"
9099,7,"Dan Aykroyd"
61752,12,"John Turturro"
10988,4,"Kathy Bates"
954,27,"Ving Rhames"
954,29,"Vanessa Redgrave"
18989,3,"Morgan Freeman"
8840,9,"Dennis Quaid"
8840,14,"Sean Connery"
11107,1,"Whoopi Goldberg"
11107,4,"Richard Jenkins"
161070,1,"Anthony Hopkins"
10539,4,"Susan Sarandon"
2300,7,"Danny DeVito"
2300,12,"Bill Murray"
35797,2,"Isabelle Huppert"
33245,3,"Eric Roberts"
33245,8,"Bruce Davison"
33245,4,"Roddy McDowall"
124460,5,"Sam Neill"
27281,4,"Danny Glover"
27281,5,"Ray Liotta"
12656,1,"Keanu Reeves"
12656,5,"Dan Aykroyd"
25969,3,"Kathy Bates"
43634,7,"John C. Reilly"
9103,3,"James Remar"
10990,1,"Nick Nolte"
10990,4,"Michael Madsen"
10990,16,"John Malkovich"
10990,23,"Bruce Dern"
23449,4,"Christopher McDonald"
23449,6,"Paul Guilfoyle"
23449,8,"Dan Aykroyd"
37667,1003,"Mark Strong"
90148,2,"Antonio Banderas"
922,25,"Lance Henriksen"
922,29,"John Hurt"
922,30,"Robert Mitchum"
922,38,"Alfred Molina"
11876,14,"Gérard Depardieu"
20759,1,"Samuel L. Jackson"
20759,2,"Jeff Goldblum"
46063,6,"Randy Quaid"
36915,1,"Alec Baldwin"
36915,3,"Eric Roberts"
36915,21,"Paul Guilfoyle"
40507,13,"Robert Forster"
9802,20,"Sean Connery"
9802,2,"Nicolas Cage"
9802,3,"Ed Harris"
11867,16,"Udo Kier"
11867,23,"Clint Howard"
47119,2,"Gérard Depardieu"
10535,3,"Charles Durning"
26744,10,"Paul Fix"
16299,2,"Tom Arnold"
16299,8,"Christopher Lee"
935,17,"Keenan Wynn"
935,23,"James Earl Jones"
41007,2,"Vanessa Redgrave"
110465,3,"Dean Stockwell"
110465,13,"Reginald Owen"
9826,1,"Billy Zane"
9826,4,"James Remar"
9879,10,"Burt Reynolds"
9879,12,"Ving Rhames"
9879,14,"Paul Guilfoyle"
22621,2,"Shelley Winters"
7095,1,"Robin Williams"
46732,13,"Charles Durning"
46732,14,"Roddy McDowall"
41225,19,"Vincent Price"
87190,5,"Kris Kristofferson"
602,18,"Jeff Goldblum"
602,22,"Randy Quaid"
9566,12,"Robert De Niro"
9566,15,"John Leguizamo"
10545,25,"Jim Cummings"
10545,64,"Frank Welker"
9894,21,"Eric Roberts"
11543,13,"Woody Harrelson"
11543,14,"Randy Quaid"
11543,16,"Bill Murray"
11543,20,"Lin Shaye"
9268,2,"James Caan"
44535,5,"Harvey Keitel"
44535,6,"Anthony Quinn"
44535,8,"Steve Buscemi"
44535,9,"Stanley Tucci"
11228,9,"Sylvester Stallone"
26748,4,"Kris Kristofferson"
9294,4,"Forest Whitaker"
9294,5,"Robert Duvall"
49963,20,"Liev Schreiber"
1645,3,"Samuel L. Jackson"
1645,5,"Oliver Platt"
1645,6,"Donald Sutherland"
1645,31,"M. Emmet Walsh"
31546,1,"Dustin Hoffman"
18550,1,"Laurence Fishburne"
34170,1,"Bill Murray"
34170,9,"Keith David"
109478,1010,"Eric Roberts"
109478,1017,"Stephen Tobolowsky"
124645,4,"Michael Gambon"
124614,2,"Catherine Deneuve"
124614,3,"John Malkovich"
18975,4,"Udo Kier"
3595,22,"Liev Schreiber"
3595,31,"Paul Guilfoyle"
12123,14,"Keanu Reeves"
12123,15,"Morgan Freeman"
12123,19,"Brian Cox"
12123,87,"Michael Shannon"
10830,2,"Danny DeVito"
18862,5,"Kevin Pollak"
9431,45,"Whoopi Goldberg"
10061,14,"Steve Buscemi"
549,11,"Dennis Hopper"
549,13,"Christopher Walken"
549,14,"Willem Dafoe"
238,7,"James Caan"
238,9,"Robert Duvall"
11134,1,"Jackie Chan"
23945,1,"Tom Arnold"
23945,4,"Rod Steiger"
37820,1,"Sam Neill"
22479,6,"Dermot Mulroney"
22479,7,"Steve Buscemi"
9054,2,"Danny Glover"
59569,2,"James Woods"
38955,2,"Jackie Chan"
11015,14,"Tom Sizemore"
9306,8,"Val Kilmer"
9306,6,"Ron Perlman"
58770,3,"Dermot Mulroney"
3587,2,"Whoopi Goldberg"
3587,3,"Gérard Depardieu"
10723,4,"James Caan"
19004,24,"Jeff Bennett"
19004,14,"Frank Welker"
253632,2,"Antonio Banderas"
10987,1,"Donald Pleasence"
44705,4,"Ben Kingsley"
20318,4,"Nick Nolte"
20318,6,"Alan Arkin"
20318,18,"John Goodman"
981,14,"Cary Grant"
981,16,"James Stewart"
872,36,"Bess Flowers"
872,51,"John George"
13320,10,"Bess Flowers"
164,11,"Mickey Rooney"
426,10,"James Stewart"
426,24,"Bess Flowers"
567,3,"James Stewart"
567,6,"Raymond Burr"
567,32,"Bess Flowers"
3078,15,"Alan Hale"
3078,21,"Ward Bond"
3078,26,"Irving Bacon"
3078,25,"Joseph Crehan"
3078,27,"Bess Flowers"
213,3,"Cary Grant"
213,5,"James Mason"
213,36,"Bess Flowers"
4808,9,"Cary Grant"
4808,13,"George Kennedy"
289,2,"Humphrey Bogart"
289,37,"Gino Corrado"
963,13,"Humphrey Bogart"
963,20,"Ward Bond"
6620,5,"Humphrey Bogart"
770,29,"Ward Bond"
770,37,"Irving Bacon"
770,98,"Frank Faylen"
770,84,"Gino Corrado"
599,27,"Buster Keaton"
15,5,"Orson Welles"
15,38,"Gino Corrado"
121357,2,"Ray Milland"
705,12,"Bette Davis"
705,14,"George Sanders"
705,75,"Bess Flowers"
22490,2,"Joan Crawford"
223,12,"George Sanders"
223,35,"Gino Corrado"
25670,4,"George Sanders"
25670,54,"Gino Corrado"
303,4,"Cary Grant"
303,57,"Bess Flowers"
8356,13,"Cary Grant"
381,19,"Cary Grant"
381,20,"Bess Flowers"
29376,31,"Bess Flowers"
1859,39,"Bess Flowers"
10907,16,"Alan Hale"
32093,22,"Gino Corrado"
1939,12,"Vincent Price"
1939,20,"Bess Flowers"
1939,47,"James Flavin"
22292,3,"George Sanders"
3080,19,"Gino Corrado"
1712,8,"Dennis Hopper"
1712,29,"Paul Fix"
220,36,"John George"
3085,10,"Cary Grant"
3085,30,"Irving Bacon"
2897,13,"Buster Keaton"
2897,14,"John Carradine"
2897,114,"Bess Flowers"
2897,299,"John George"
1585,1,"James Stewart"
1585,3,"Lionel Barrymore"
1585,20,"Ward Bond"
1585,11,"Frank Faylen"
1585,50,"Charles Lane"
3083,9,"James Stewart"
3083,23,"Charles Lane"
3083,45,"Gino Corrado"
900,17,"Cary Grant"
900,42,"Ward Bond"
900,46,"Paul Guilfoyle"
43795,9,"Cary Grant"
50001,1,"Barbara Stanwyck"
43905,9,"Bette Davis"
43905,13,"Alan Hale"
43905,15,"Reginald Owen"
22688,18,"James Flavin"
23114,10,"Mickey Rooney"
26378,20,"Ward Bond"
26378,23,"Irving Bacon"
40206,6,"Alan Hale"
22356,7,"John Wayne"
22356,26,"Paul Fix"
488,5,"Humphrey Bogart"
22733,8,"Humphrey Bogart"
261,5,"Paul Newman"
32574,1,"Barbara Stanwyck"
32574,10,"Irving Bacon"
22657,12,"Alan Hale"
176841,13,"J. Carrol Naish"
125587,29,"Michael Gambon"
52855,1007,"Ving Rhames"
58985,2,"John Turturro"
58985,12,"Bruce Davison"
1770,17,"Liam Neeson"
44465,13,"Christopher McDonald"
18203,1,"Stanley Tucci"
18203,8,"Liev Schreiber"
9333,1,"Bruce Willis"
9333,2,"Bruce Dern"
9333,4,"Christopher Walken"
9333,32,"Lin Shaye"
11306,2,"Gene Hackman"
11306,13,"Paul Guilfoyle"
11306,17,"J.K. Simmons"
9625,4,"Brian Cox"
9625,16,"Stephen Tobolowsky"
10680,17,"Joss Ackland"
6346,2,"Gene Hackman"
14821,4,"Ray Milland"
14821,5,"Donald Pleasence"
10869,13,"Keenan Wynn"
6878,27,"Frank Welker"
20723,4,"Roddy McDowall"
173,4,"Kirk Douglas"
173,5,"James Mason"
24795,1,"Danny Glover"
24795,4,"Christopher Lloyd"
24795,12,"Dermot Mulroney"
8367,2,"Morgan Freeman"
8367,3,"Christian Slater"
8367,21,"Sean Connery"
433,11,"Reginald Owen"
11114,3,"Mickey Rooney"
11114,5,"Shelley Winters"
12335,3,"Roddy McDowall"
12335,21,"Reginald Owen"
10948,1,"Mickey Rooney"
15121,2,"Christopher Plummer"
562,5,"Bruce Willis"
48862,7,"Gérard Depardieu"
47199,12,"Jim Broadbent"
47199,7,"Gérard Depardieu"
47199,14,"Robin Williams"
9591,5,"Tom Hanks"
9591,27,"Kevin Pollak"
41843,2,"Anthony Hopkins"
41843,4,"Julianne Moore"
41843,5,"Joss Ackland"
11412,12,"Samuel L. Jackson"
11412,16,"Brian Cox"
10586,12,"Val Kilmer"
10586,13,"Tom Wilkinson"
42314,7,"Alec Baldwin"
42314,13,"James Earl Jones"
42314,18,"Vanessa Redgrave"
27845,3,"Steve Buscemi"
27845,12,"Samuel L. Jackson"
38153,5,"Donald Sutherland"
454,3,"John Leguizamo"
819,19,"Robert De Niro"
819,17,"Kevin Bacon"
819,22,"Dustin Hoffman"
38191,8,"Woody Harrelson"
56830,6,"Keith David"
11238,23,"Robin Williams"
11238,18,"Frank Welker"
11238,19,"Jim Cummings"
28120,9,"Robert Mitchum"
26282,1,"Robert Mitchum"
11302,28,"Sylvester Stallone"
623,22,"John Cleese"
583,14,"John Cleese"
11575,11,"Keenan Wynn"
475,17,"Gene Hackman"
521,6,"Ray Milland"
521,20,"Bess Flowers"
500,20,"Harvey Keitel"
500,5,"Michael Madsen"
500,7,"Steve Buscemi"
792,16,"Willem Dafoe"
792,17,"Forest Whitaker"
792,23,"Keith David"
402,12,"Stephen Tobolowsky"
10537,13,"Val Kilmer"
10537,20,"Michael Madsen"
11386,7,"Forest Whitaker"
11386,12,"Jim Broadbent"
9504,3,"Alec Baldwin"
9504,4,"Alan Arkin"
9504,5,"Ed Harris"
15764,1,"Meryl Streep"
67365,5,"Steve Buscemi"
67365,7,"Samuel L. Jackson"
67365,8,"John Turturro"
25842,1,"Reginald Owen"
2119,20,"Robert Duvall"
2119,22,"Randy Quaid"
2119,26,"John C. Reilly"
744,15,"Val Kilmer"
744,18,"Michael Ironside"
136311,11,"Eric Roberts"
221,17,"Dennis Hopper"
702,27,"John George"
11112,1,"Whoopi Goldberg"
21612,1,"Christopher Walken"
200383,1,"James Caan"
